id	name	kana	type	season	weather_id	sky_id	hex_bonus	fortune_score	rank		hex_bonus	hex_bonus_meaning
38	火沢睽	かたくけい	TRANSFORM	WINTER	8	22	-1	79	R		-3	分離
39	水山蹇	すいざんけん	TRIAL	WINTER	7	20	-2	68	N		-5	障害
40	雷水解	らいすいかい	TRANSFORM	SPRING	5	19	3	83	R		+6	解放
41	山沢損	さんたくそん	WISDOM	AUTUMN	3	14	1	81	R		-2	削減
42	風雷益	ふうらいえき	ACTIVE	SPRING	1	5	4	90	SSR		+7	増加
43	沢天夬	たくてんかい	ACTIVE	SUMMER	6	10	2	88	SR		+5	決断
44	天風姤	てんぷうこう	TRANSFORM	SUMMER	8	18	-1	79	R		+2	偶然
45	沢地萃	たくちすい	FLOW	AUTUMN	2	17	3	83	R		+6	集合
46	地風升	ちふうしょう	FLOW	SPRING	2	5	3	83	R		+6	上昇
47	沢水困	たくすいこん	TRIAL	WINTER	7	20	-2	68	N		-4	困難
48	水風井	すいふうせい	WISDOM	WINTER	4	21	3	83	R		+4	循環
49	沢火革	たくかかく	TRANSFORM	SPRING	6	10	4	84	R		+8	革命
50	火風鼎	かふうてい	WISDOM	AUTUMN	2	15	5	85	SR		+7	完成
51	震為雷	しんいらい	TRANSFORM	SPRING	6	10	3	83	R		+8	覚醒
52	艮為山	ごんいざん	STABLE	WINTER	4	2	2	78	R		+4	停止
53	風山漸	ふうざんぜん	FLOW	AUTUMN	2	5	3	83	R		+5	漸進
54	雷沢帰妹	らいたくきまい	JOY	SUMMER	3	17	-2	78	R		-3	不安定関係
55	雷火豊	らいかほう	ACTIVE	SUMMER	1	9	5	91	SSR		+8	ピーク
56	火山旅	かざんりょ	TRANSFORM	AUTUMN	8	18	0	80	R		-1	移動不安定
57	巽為風	そんいふう	FLOW	AUTUMN	2	16	2	82	R		+5	浸透
58	兌為沢	だいたく	JOY	SUMMER	2	13	3	83	R		+6	喜悦
59	風水渙	ふうすいかん	TRANSFORM	SPRING	5	19	2	82	R		+4	分散解放
60	水沢節	すいたくせつ	STABLE	AUTUMN	4	23	2	78	R		+3	節度
61	風沢中孚	ふうたくちゅうふ	JOY	AUTUMN	1	12	5	85	SR		+6	信頼
62	雷山小過	らいざんしょうか	TRIAL	WINTER	8	22	-1	69	N		-2	小さなミス
63	水火既済	すいかきせい	STABLE	AUTUMN	1	15	6	82	R		+8	完成
64	火水未済	かすいびせい	TRANSFORM	SPRING	8	7	1	81	R		+5	未完成成長
