"devil_reversed_a","15","大アルカナ","悪魔","モモンガ","もっと欲しいんだよォー！"
"devil_reversed_b","15","大アルカナ","悪魔","モモンガ",""
"tower_upright_a","16","大アルカナ","塔","うさぎ","ヤハッ！全部崩壊！"
"tower_upright_b","16","大アルカナ","塔","鎧さん","うさぎが全部崩そうとしている、やめろ！"
"tower_reversed_a","16","大アルカナ","塔","うさぎ","もうどうでもいい！壊せ！"
"tower_reversed_b","16","大アルカナ","塔","鎧さん","うさぎが諦めている、焦るな"
"star_upright_a","17","大アルカナ","星","ちいかわ","ウン！"
"star_upright_b","17","大アルカナ","星","鎧さん","ちいかわが未来に希望を持っている、いいぞ"
"star_reversed_a","17","大アルカナ","星","ちいかわ","わァ…"
"star_reversed_b","17","大アルカナ","星","鎧さん","ちいかわが不安になっている、焦るな"
"moon_upright_a","18","大アルカナ","月","ちいかわ","こわいよぉ…"
"moon_upright_b","18","大アルカナ","月","鎧さん","ちいかわが夢に怯えている、落ち着け"
"moon_reversed_a","18","大アルカナ","月","ちいかわ","イヤッ！"
"moon_reversed_b","18","大アルカナ","月","鎧さん","ちいかわが強すぎる恐怖を感じている"
"sun_upright_a","19","大アルカナ","太陽","ハチワレ","サイコーじゃん！！"
"sun_upright_b","19","大アルカナ","太陽","鎧さん","ちいかわが晴れやかな気持ちになっている"
"sun_reversed_a","19","大アルカナ","太陽","ハチワレ","なんとかなるって！"
"sun_reversed_b","19","大アルカナ","太陽","ハチワレ",""
"judgement_upright_a","20","大アルカナ","審判","鎧さん","立ち上がれ！新たなる自分！"
"judgement_upright_b","20","大アルカナ","審判","鎧さん",""
"judgement_reversed_a","20","大アルカナ","審判","鎧さん","過去を断ち切れ！"
"judgement_reversed_b","20","大アルカナ","審判","鎧さん",""
"world_upright_a","21","大アルカナ","世界","全員","みんなで完成したよ！"
"world_upright_b","21","大アルカナ","世界","全員",""
"world_reversed_a","21","大アルカナ","世界","全員","これで終わりか…"
"world_reversed_b","21","大アルカナ","世界","全員",""

"ID","番号","種別","カード名","キャラ","セリフ"
"wand_01_upright_a","","ワンド","ワンドの 1","ハチワレ","やるぞー！サイコーじゃん！！"
"wand_01_upright_b","","ワンド","ワンドの 1","ハチワレ",""
"wand_01_reversed_a","","ワンド","ワンドの 1","ハチワレ","熱くなりすぎた…ってコト？"
"wand_01_reversed_b","","ワンド","ワンドの 1","ハチワレ",""
"wand_02_upright_a","","ワンド","ワンドの 2","ハチワレ","一緒にやろうってコト！"
"wand_02_upright_b","","ワンド","ワンドの 2","ハチワレ",""
"wand_02_reversed_a","","ワンド","ワンドの 2","ハチワレ","どっち優先…ってコト？"
"wand_02_reversed_b","","ワンド","ワンドの 2","ハチワレ",""
"wand_03_upright_a","","ワンド","ワンドの 3","ハチワレ","やりたいこといっぱいある！"
"wand_03_upright_b","","ワンド","ワンドの 3","ハチワレ",""
"wand_03_reversed_a","","ワンド","ワンドの 3","ハチワレ","欲張りすぎ…ってコト？"
"wand_03_reversed_b","","ワンド","ワンドの 3","ハチワレ",""
"wand_04_upright_a","","ワンド","ワンドの 4","鎧さん","基盤固めが大事だ"
"wand_04_upright_b","","ワンド","ワンドの 4","鎧さん",""
"wand_04_reversed_a","","ワンド","ワンドの 4","鎧さん","準備が少し足りないな"
"wand_04_reversed_b","","ワンド","ワンドの 4","鎧さん",""
"wand_05_upright_a","","ワンド","ワンドの 5","ハチワレ","なんとかなれーッ！！勝負だ！"
"wand_05_upright_b","","ワンド","ワンドの 5","ハチワレ",""
"wand_05_reversed_a","","ワンド","ワンドの 5","ハチワレ","負けた…ってコトか"
"wand_05_reversed_b","","ワンド","ワンドの 5","ハチワレ",""
"wand_06_upright_a","","ワンド","ワンドの 6","鎧さん","いい流れだ、そのまま進め"
"wand_06_upright_b","","ワンド","ワンドの 6","鎧さん",""
"wand_06_reversed_a","","ワンド","ワンドの 6","鎧さん","少し油断が見えるな"
"wand_06_reversed_b","","ワンド","ワンドの 6","鎧さん",""
"wand_07_upright_a","","ワンド","ワンドの 7","鎧さん","しっかり守れているぞ"
"wand_07_upright_b","","ワンド","ワンドの 7","鎧さん",""
"wand_07_reversed_a","","ワンド","ワンドの 7","鎧さん","少し隙があるな"
"wand_07_reversed_b","","ワンド","ワンドの 7","鎧さん",""
"wand_08_upright_a","","ワンド","ワンドの 8","ハチワレ","もっと速く！行動あるのみ！"
"wand_08_upright_b","","ワンド","ワンドの 8","ハチワレ",""
"wand_08_reversed_a","","ワンド","ワンドの 8","ハチワレ","遅すぎる…ってコト？"
"wand_08_reversed_b","","ワンド","ワンドの 8","ハチワレ",""
"wand_09_upright_a","","ワンド","ワンドの 9","ハチワレ","何回でも挑戦する！"
"wand_09_upright_b","","ワンド","ワンドの 9","ハチワレ",""
"wand_09_reversed_a","","ワンド","ワンドの 9","ハチワレ","もう限界…ってコト？"
"wand_09_reversed_b","","ワンド","ワンドの 9","ハチワレ",""
"wand_10_upright_a","","ワンド","ワンドの 10","ハチワレ","負担が重くてもやり遂げる！"
"wand_10_upright_b","","ワンド","ワンドの 10","ハチワレ",""
"wand_10_reversed_a","","ワンド","ワンドの 10","ハチワレ","もう無理…リタイア"
"wand_10_reversed_b","","ワンド","ワンドの 10","ハチワレ",""
"wand_page_upright_a","","ワンド","ワンドのペイジ","ハチワレ","新しい挑戦！ワクワクだ！"
"wand_page_upright_b","","ワンド","ワンドのペイジ","ハチワレ",""
"wand_page_reversed_a","","ワンド","ワンドのペイジ","ハチワレ","怖い…ってコト？"
"wand_page_reversed_b","","ワンド","ワンドのペイジ","ハチワレ",""
"wand_knight_upright_a","","ワンド","ワンドのナイト","鎧さん","勢いはいい、そのまま進め"
"wand_knight_upright_b","","ワンド","ワンドのナイト","鎧さん",""
"wand_knight_reversed_a","","ワンド","ワンドのナイト","鎧さん","少し急ぎすぎかもしれないな"
"wand_knight_reversed_b","","ワンド","ワンドのナイト","鎧さん",""
"wand_queen_upright_a","","ワンド","ワンドのクイーン","ハチワレ","情熱で導くよ！"
"wand_queen_upright_b","","ワンド","ワンドのクイーン","ハチワレ",""
"wand_queen_reversed_a","","ワンド","ワンドのクイーン","ハチワレ","熱くなりすぎた…"
"wand_queen_reversed_b","","ワンド","ワンドのクイーン","ハチワレ",""
"wand_king_upright_a","","ワンド","ワンドのキング","鎧さん","方向は見えている、その調子だ"
"wand_king_upright_b","","ワンド","ワンドのキング","鎧さん",""
"wand_king_reversed_a","","ワンド","ワンドのキング","鎧さん","少し強引になっているな"
"wand_king_reversed_b","","ワンド","ワンドのキング","鎧さん",""

"ID","番号","種別","カード名","キャラ","セリフ"
"sword_01_upright_a","","ソード","ソードの 1","ハチワレ","これが原因…ってコト！？"
"sword_01_upright_b","","ソード","ソードの 1","ハチワレ",""
"sword_01_reversed_a","","ソード","ソードの 1","ハチワレ","考えすぎ…ってコト？"
"sword_01_reversed_b","","ソード","ソードの 1","ハチワレ",""
"sword_02_upright_a","","ソード","ソードの 2","ハチワレ","どっちも大事…ってコト！？"
"sword_02_upright_b","","ソード","ソードの 2","ハチワレ",""
"sword_02_reversed_a","","ソード","ソードの 2","ハチワレ","決められない…ってコト？"
"sword_02_reversed_b","","ソード","ソードの 2","ハチワレ",""
"sword_03_upright_a","","ソード","ソードの 3","ハチワレ","これが真相…ってコト！？"
"sword_03_upright_b","","ソード","ソードの 3","ハチワレ",""
"sword_03_reversed_a","","ソード","ソードの 3","ハチワレ","俺が悪い…ってコト？"
"sword_03_reversed_b","","ソード","ソードの 3","ハチワレ",""
"sword_04_upright_a","","ソード","ソードの 4","ラッコ","休め、次に備えろ"
"sword_04_upright_b","","ソード","ソードの 4","ラッコ",""
"sword_04_reversed_a","","ソード","ソードの 4","ラッコ","休みすぎだ"
"sword_04_reversed_b","","ソード","ソードの 4","ラッコ",""
"sword_05_upright_a","","ソード","ソードの 5","ハチワレ","論理で勝った…ってコト！？"
"sword_05_upright_b","","ソード","ソードの 5","ハチワレ",""
"sword_05_reversed_a","","ソード","ソードの 5","ハチワレ","ズルがバレた…ってコト？"
"sword_05_reversed_b","","ソード","ソードの 5","ハチワレ",""
"sword_06_upright_a","","ソード","ソードの 6","ハチワレ","次に進む…ってコト！"
"sword_06_upright_b","","ソード","ソードの 6","ハチワレ",""
"sword_06_reversed_a","","ソード","ソードの 6","ハチワレ","また同じ…ってコト？"
"sword_06_reversed_b","","ソード","ソードの 6","ハチワレ",""
"sword_07_upright_a","","ソード","ソードの 7","キメラ","策略成功！むちゃくちゃ！"
"sword_07_upright_b","","ソード","ソードの 7","キメラ",""
"sword_07_reversed_a","","ソード","ソードの 7","キメラ","バレた！むちゃくちゃ！"
"sword_07_reversed_b","","ソード","ソードの 7","キメラ",""
"sword_08_upright_a","","ソード","ソードの 8","ちいかわ","わァ…"
"sword_08_upright_b","","ソード","ソードの 8","鎧さん","ちいかわが恐怖から抜け出そうとしている、がんばれ！"
"sword_08_reversed_a","","ソード","ソードの 8","ちいかわ","動けない…ヤダーッ！"
"sword_08_reversed_b","","ソード","ソードの 8","鎧さん","ちいかわが動けないでいる、焦るな"
"sword_09_upright_a","","ソード","ソードの 9","ハチワレ","不安乗り越える…ってコト！？"
"sword_09_upright_b","","ソード","ソードの 9","ハチワレ",""
"sword_09_reversed_a","","ソード","ソードの 9","ハチワレ","悪夢続く…ってコト？"
"sword_09_reversed_b","","ソード","ソードの 9","ハチワレ",""
"sword_10_upright_a","","ソード","ソードの 10","キメラ","むちゃくちゃでも終わりだ！"
"sword_10_upright_b","","ソード","ソードの 10","キメラ",""
"sword_10_reversed_a","","ソード","ソードの 10","キメラ","まだ終わらない！むちゃくちゃ！"
"sword_10_reversed_b","","ソード","ソードの 10","キメラ",""
"sword_page_upright_a","","ソード","ソードのペイジ","ハチワレ","謎解き楽しい！ってコト！"
"sword_page_upright_b","","ソード","ソードのペイジ","ハチワレ",""
"sword_page_reversed_a","","ソード","ソードのペイジ","ハチワレ","頭パンク…ってコト？"
"sword_page_reversed_b","","ソード","ソードのペイジ","ハチワレ",""
"sword_knight_upright_a","","ソード","ソードのナイト","ハチワレ","即決する！ってコト！"
"sword_knight_upright_b","","ソード","ソードのナイト","ハチワレ",""
"sword_knight_reversed_a","","ソード","ソードのナイト","ハチワレ","早まった…ってコト？"
"sword_knight_reversed_b","","ソード","ソードのナイト","ハチワレ",""
"sword_queen_upright_a","","ソード","ソードのクイーン","ハチワレ","論理で見抜くってコト！"
"sword_queen_upright_b","","ソード","ソードのクイーン","ハチワレ",""
"sword_queen_reversed_a","","ソード","ソードのクイーン","ハチワレ","感情が邪魔…ってコト？"
"sword_queen_reversed_b","","ソード","ソードのクイーン","ハチワレ",""
"sword_king_upright_a","","ソード","ソードのキング","ラッコ","結論は出た"
"sword_king_upright_b","","ソード","ソードのキング","ラッコ",""
"sword_king_reversed_a","","ソード","ソードのキング","ラッコ","判断が鈍っている"
"sword_king_reversed_b","","ソード","ソードのキング","ラッコ",""

"ID","番号","種別","カード名","キャラ","セリフ"
"cup_01_upright_a","","カップ","カップの 1","ちいかわ","大好きだよ…！"
"cup_01_upright_b","","カップ","カップの 1","鎧さん","ちいかわが心をオープンにしている、いいぞ"
"cup_01_reversed_a","","カップ","カップの 1","ちいかわ","こわいよぉ…"
"cup_01_reversed_b","","カップ","カップの 1","鎧さん","ちいかわが怯えている、大丈夫だ"
"cup_02_upright_a","","カップ","カップの 2","シーサー","お揃いシーサー！"
"cup_02_upright_b","","カップ","カップの 2","シーサー",""
"cup_02_reversed_a","","カップ","カップの 2","シーサー","離れられないシーサー！"
"cup_02_reversed_b","","カップ","カップの 2","シーサー",""
"cup_03_upright_a","","カップ","カップの 3","くりまんじゅう","みんなで食べよう！"
"cup_03_upright_b","","カップ","カップの 3","くりまんじゅう",""
"cup_03_reversed_a","","カップ","カップの 3","くりまんじゅう","飲みすぎだハァー！"
"cup_03_reversed_b","","カップ","カップの 3","くりまんじゅう",""
"cup_04_upright_a","","カップ","カップの 4","ラッコ","静かに考える…"
"cup_04_upright_b","","カップ","カップの 4","ラッコ",""
"cup_04_reversed_a","","カップ","カップの 4","ラッコ","閉じこもりすぎだ"
"cup_04_reversed_b","","カップ","カップの 4","ラッコ",""
"cup_05_upright_a","","カップ","カップの 5","ハチワレ","泣いちゃった！"
"cup_05_upright_b","","カップ","カップの 5","ハチワレ",""
"cup_05_reversed_a","","カップ","カップの 5","ハチワレ","もう信じない…ってコト？"
"cup_05_reversed_b","","カップ","カップの 5","ハチワレ",""
"cup_06_upright_a","","カップ","カップの 6","くりまんじゅう","昔みたいに遊ぼう！"
"cup_06_upright_b","","カップ","カップの 6","くりまんじゅう",""
"cup_06_reversed_a","","カップ","カップの 6","くりまんじゅう","過去にこだわりすぎだ"
"cup_06_reversed_b","","カップ","カップの 6","くりまんじゅう",""
"cup_07_upright_a","","カップ","カップの 7","うさぎ","ヤハ！行きたいな！"
"cup_07_upright_b","","カップ","カップの 7","鎧さん","うさぎがすべて欲しがっている、落ち着け"
"cup_07_reversed_a","","カップ","カップの 7","うさぎ","全部欲しい！止まらない！"
"cup_07_reversed_b","","カップ","カップの 7","鎧さん","うさぎが制御できない、焦るな"
"cup_08_upright_a","","カップ","カップの 8","ちいかわ","新しい場所へ行く！"
"cup_08_upright_b","","カップ","カップの 8","鎧さん","ちいかわが新しい関係に進もうとしている"
"cup_08_reversed_a","","カップ","カップの 8","ちいかわ","やっぱりこわい…"
"cup_08_reversed_b","","カップ","カップの 8","鎧さん","ちいかわがまた怯えている、大丈夫だ"
"cup_09_upright_a","","カップ","カップの 9","モモンガ","最高のご褒美なんだよォー！"
"cup_09_upright_b","","カップ","カップの 9","モモンガ",""
"cup_09_reversed_a","","カップ","カップの 9","モモンガ","まだ足りないんだよォー！"
"cup_09_reversed_b","","カップ","カップの 9","モモンガ",""
"cup_10_upright_a","","カップ","カップの 10","くりまんじゅう","幸せいっぱいハァー！"
"cup_10_upright_b","","カップ","カップの 10","くりまんじゅう",""
"cup_10_reversed_a","","カップ","カップの 10","くりまんじゅう","どこか足りないハァー！"
"cup_10_reversed_b","","カップ","カップの 10","くりまんじゅう",""
"cup_page_upright_a","","カップ","カップのペイジ","ちいかわ","ドキドキする…！"
"cup_page_upright_b","","カップ","カップのペイジ","鎧さん","ちいかわが新しい気持ちになっている、がんばれ"
"cup_page_reversed_a","","カップ","カップのペイジ","ちいかわ","すぐ冷めちゃった…"
"cup_page_reversed_b","","カップ","カップのペイジ","鎧さん","ちいかわがすぐに怯えてしまった"
"cup_knight_upright_a","","カップ","カップのナイト","モモンガ","ロマンスなんだよォー！"
"cup_knight_upright_b","","カップ","カップのナイト","モモンガ",""
"cup_knight_reversed_a","","カップ","カップのナイト","モモンガ","目移りするんだよォー！"
"cup_knight_reversed_b","","カップ","カップのナイト","モモンガ",""
"cup_queen_upright_a","","カップ","カップのクイーン","くりまんじゅう","守るよハァー！"
"cup_queen_upright_b","","カップ","カップのクイーン","くりまんじゅう",""
"cup_queen_reversed_a","","カップ","カップのクイーン","くりまんじゅう","抱え込みすぎハァー！"
"cup_queen_reversed_b","","カップ","カップのクイーン","くりまんじゅう",""
"cup_king_upright_a","","カップ","カップのキング","ハチワレ","落ち着こうってコト！"
"cup_king_upright_b","","カップ","カップのキング","ハチワレ",""
"cup_king_reversed_a","","カップ","カップのキング","ハチワレ","コントロールできない…ってコト？"
"cup_king_reversed_b","","カップ","カップのキング","ハチワレ",""

"ID","番号","種別","カード名","キャラ","セリフ"
"pentacle_01_upright_a","","ペンタクル","ペンタクルの 1","鎧さん","いい種だ、大事に育てろ"
"pentacle_01_upright_b","","ペンタクル","ペンタクルの 1","鎧さん",""
"pentacle_01_reversed_a","","ペンタクル","ペンタクルの 1","鎧さん","扱いが少し雑だな"
"pentacle_01_reversed_b","","ペンタクル","ペンタクルの 1","鎧さん",""
"pentacle_02_upright_a","","ペンタクル","ペンタクルの 2","鎧さん","うまく回せている、その調子だ"
"pentacle_02_upright_b","","ペンタクル","ペンタクルの 2","鎧さん",""
"pentacle_02_reversed_a","","ペンタクル","ペンタクルの 2","鎧さん","少し手が回っていないな"
"pentacle_02_reversed_b","","ペンタクル","ペンタクルの 2","鎧さん",""
"pentacle_03_upright_a","","ペンタクル","ペンタクルの 3","くりまんじゅう","一緒に作ろうハァー！"
"pentacle_03_upright_b","","ペンタクル","ペンタクルの 3","くりまんじゅう",""
"pentacle_03_reversed_a","","ペンタクル","ペンタクルの 3","くりまんじゅう","適当すぎるハァー！"
"pentacle_03_reversed_b","","ペンタクル","ペンタクルの 3","くりまんじゅう",""
"pentacle_04_upright_a","","ペンタクル","ペンタクルの 4","モモンガ","これは俺のなんだよォー！"
"pentacle_04_upright_b","","ペンタクル","ペンタクルの 4","モモンガ",""
"pentacle_04_reversed_a","","ペンタクル","ペンタクルの 4","モモンガ","手放したくないんだよォー！"
"pentacle_04_reversed_b","","ペンタクル","ペンタクルの 4","モモンガ",""
"pentacle_05_upright_a","","ペンタクル","ペンタクルの 5","ハチワレ","一緒に乗り越えるってコト！"
"pentacle_05_upright_b","","ペンタクル","ペンタクルの 5","ハチワレ",""
"pentacle_05_reversed_a","","ペンタクル","ペンタクルの 5","ハチワレ","一人でいい…ってコト？"
"pentacle_05_reversed_b","","ペンタクル","ペンタクルの 5","ハチワレ",""
"pentacle_06_upright_a","","ペンタクル","ペンタクルの 6","シーサー","分け合うシーサー！"
"pentacle_06_upright_b","","ペンタクル","ペンタクルの 6","シーサー",""
"pentacle_06_reversed_a","","ペンタクル","ペンタクルの 6","シーサー","欲張りすぎシーサー！"
"pentacle_06_reversed_b","","ペンタクル","ペンタクルの 6","シーサー",""
"pentacle_07_upright_a","","ペンタクル","ペンタクルの 7","鎧さん","いい頃合いだ、見極めろ"
"pentacle_07_upright_b","","ペンタクル","ペンタクルの 7","鎧さん",""
"pentacle_07_reversed_a","","ペンタクル","ペンタクルの 7","鎧さん","少し焦りすぎているな"
"pentacle_07_reversed_b","","ペンタクル","ペンタクルの 7","鎧さん",""
"pentacle_08_upright_a","","ペンタクル","ペンタクルの 8","鎧さん","積み重ねが効いているぞ"
"pentacle_08_upright_b","","ペンタクル","ペンタクルの 8","鎧さん",""
"pentacle_08_reversed_a","","ペンタクル","ペンタクルの 8","鎧さん","まだ粗が残っているな"
"pentacle_08_reversed_b","","ペンタクル","ペンタクルの 8","鎧さん",""
"pentacle_09_upright_a","","ペンタクル","ペンタクルの 9","モモンガ","最高の環境なんだよォー！"
"pentacle_09_upright_b","","ペンタクル","ペンタクルの 9","モモンガ",""
"pentacle_09_reversed_a","","ペンタクル","ペンタクルの 9","モモンガ","満たされないんだよォー！"
"pentacle_09_reversed_b","","ペンタクル","ペンタクルの 9","モモンガ",""
"pentacle_10_upright_a","","ペンタクル","ペンタクルの 10","ラッコ","完成度は高い"
"pentacle_10_upright_b","","ペンタクル","ペンタクルの 10","ラッコ",""
"pentacle_10_reversed_a","","ペンタクル","ペンタクルの 10","ラッコ","綻びが見えている"
"pentacle_10_reversed_b","","ペンタクル","ペンタクルの 10","ラッコ",""
"pentacle_page_upright_a","","ペンタクル","ペンタクルのペイジ","ハチワレ","学べばできるってコト！"
"pentacle_page_upright_b","","ペンタクル","ペンタクルのペイジ","ハチワレ",""
"pentacle_page_reversed_a","","ペンタクル","ペンタクルのペイジ","ハチワレ","うまくいかない…ってコト？"
"pentacle_page_reversed_b","","ペンタクル","ペンタクルのペイジ","ハチワレ",""
"pentacle_knight_upright_a","","ペンタクル","ペンタクルのナイト","鎧さん","着実に進んでいるぞ"
"pentacle_knight_upright_b","","ペンタクル","ペンタクルのナイト","鎧さん",""
"pentacle_knight_reversed_a","","ペンタクル","ペンタクルのナイト","鎧さん","少し重くなっているな"
"pentacle_knight_reversed_b","","ペンタクル","ペンタクルのナイト","鎧さん",""
"pentacle_queen_upright_a","","ペンタクル","ペンタクルのクイーン","鎧さん","よく整っている、いい管理だ"
"pentacle_queen_upright_b","","ペンタクル","ペンタクルのクイーン","鎧さん",""
"pentacle_queen_reversed_a","","ペンタクル","ペンタクルのクイーン","鎧さん","抱え込みすぎているな"
"pentacle_queen_reversed_b","","ペンタクル","ペンタクルのクイーン","鎧さん",""
"pentacle_king_upright_a","","ペンタクル","ペンタクルのキング","ラッコ","最適な状態だ"
"pentacle_king_upright_b","","ペンタクル","ペンタクルのキング","ラッコ",""
"pentacle_king_reversed_a","","ペンタクル","ペンタクルのキング","ラッコ","管理が偏っている"
"pentacle_king_reversed_b","","ペンタクル","ペンタクルのキング","ラッコ",""
